"","State","Count","Percentage"
"6","CO",47,8.42
"5","CA",39,6.99
"23","MI",32,5.73
"38","OR",29,5.2
"44","TX",28,5.02
"39","PA",25,4.48
"20","MA",23,4.12
"48","WA",23,4.12
"16","IN",22,3.94
"49","WI",20,3.58
"28","NC",19,3.41
"15","IL",18,3.23
"35","NY",16,2.87
"46","VA",16,2.87
"10","FL",15,2.69
"36","OH",15,2.69
"24","MN",12,2.15
"4","AZ",11,1.97
"47","VT",10,1.79
"22","ME",9,1.61
"25","MO",9,1.61
"27","MT",9,1.61
"7","CT",8,1.43
"1","AK",7,1.25
"11","GA",7,1.25
"21","MD",7,1.25
"37","OK",6,1.08
"13","IA",5,0.9
"14","ID",5,0.9
"19","LA",5,0.9
"30","NE",5,0.9
"40","RI",5,0.9
"12","HI",4,0.72
"18","KY",4,0.72
"33","NM",4,0.72
"41","SC",4,0.72
"45","UT",4,0.72
"51","WY",4,0.72
"2","AL",3,0.54
"17","KS",3,0.54
"31","NH",3,0.54
"32","NJ",3,0.54
"43","TN",3,0.54
"3","AR",2,0.36
"9","DE",2,0.36
"26","MS",2,0.36
"34","NV",2,0.36
"8","DC",1,0.18
"29","ND",1,0.18
"42","SD",1,0.18
"50","WV",1,0.18
